Open,High,Low,Close,Volume,Dividends,StockSplits
96.98999786,97.23000336,94.91999817,95.5,68488000,0,0
94.48000336,95.36000061,93.77999878,94.12999725,72496400,0,0
93.05000305,94.05999756,90.81999969,91.01000214,71535500,0,0
90.5,91.04000092,87.90000153,88.25,75503600,0,0
88.33999634,89.88999939,87.48000336,88.45999908,68086900,0,0
89.23999786,90.86000061,87.87999725,90.34999847,73305900,0,0
88.90000153,90.30000305,88.62999725,89.08999634,67398500,0,0
89.20999908,90.58000183,87.87000275,90.55000305,61999800,0,0
95.23000336,96.25,90.51999664,92.48999786,100212000,0,0
92.5,93.45999908,89.87000275,91.58000183,70298000,0,0
89.88999939,89.97000122,87.47000122,88.44999695,84802900,0,0
88.26999664,89.34999847,86.73000336,87.86000061,146144100,0,0
87.51000214,87.62999725,84.51000214,84.91999817,83531500,0,0
85.33000183,86.61000061,84.33000183,85.19000244,74348300,0,0
86.18000031,87.23000336,85.20999908,86.76999664,59267200,0,0
85.51999664,85.68000031,82.25,83.79000092,81431300,0,0
83.25,85.77999878,82.93000031,85.25,57433700,0,0
84.97000122,85.34999847,83,83.04000092,57284000,0,0
82.80000305,83.48000336,81.69000244,81.81999969,58228600,0,0
82.87000275,84.55000305,82.55000305,84.18000031,54995900,0,0
83.12000275,84.05000305,82.47000122,84,62330000,0,0
